Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2);Absolute acceleration (m/s^2)
0.015199136;0.076614454;1.503558636;9.902418137;10.01620903
0.020234471;0.153228909;1.465251446;9.844957352;9.95457815
0.025269805;0.172382519;1.541865945;9.883264542;10.00429829
0.030274622;0.114921682;1.465251446;9.864110947;9.973006245
0.035309956;0.220266551;1.388636947;9.854534149;9.954329371
0.040345291;0.057460841;1.426944256;9.864110947;9.966953217
0.045350108;0.019153614;1.359906554;9.835380554;9.928968896
0.050385442;-0.009576807;1.321599364;9.777919769;9.866834934
0.055420776;-0.067037649;1.379060149;9.720458984;9.818025454
0.060456111;-0.019153614;1.26413846;9.768342972;9.849819152
0.065460927;-0.114921682;1.340752959;9.758766174;9.851108706
0.070496262;-0.210689753;1.379060149;9.739612579;9.839016733
0.075531596;-0.143652096;1.302445769;9.730035782;9.817871318
0.080566931;-0.181959331;1.321599364;9.691728592;9.783114902
0.085571747;-0.191536129;1.292868972;9.710882187;9.798440137
0.090607082;-0.229843363;1.340752959;9.62469101;9.720345853
0.095642416;-0.239420176;1.302445769;9.62469101;9.715367416
0.100677751;-0.258573771;1.340752959;9.528923035;9.62625852
0.105682567;-0.277727395;1.350329757;9.595960617;9.694482097
0.110717902;-0.29688102;1.369483352;9.576807022;9.678783794
0.115753236;-0.210689753;1.321599364;9.567230225;9.660378317
0.120758053;-0.229843363;1.398213744;9.605537415;9.709489104
0.125793387;-0.172382519;1.331176162;9.662998199;9.755781871
0.130828722;-0.153228909;1.388636947;9.672574997;9.77294729
0.135864056;-0.076614454;1.312022567;9.701305389;9.789923353
0.140868873;-0.076614454;1.350329757;9.643844604;9.738223605
0.145904207;-0.067037649;1.379060149;9.777919769;9.874918529
0.150939542;0.019153614;1.369483352;9.720458984;9.816474641
0.155974876;-0.019153614;1.388636947;9.739612579;9.838126479
0.160979693;0.009576807;1.350329757;9.777919769;9.870724248
0.166015027;0.067037649;1.465251446;9.758766174;9.868382496
0.171050362;0.086191259;1.446097851;9.797073364;9.903599065
0.176085696;0.095768064;1.417367458;9.797073364;9.899532743
0.181090513;0.201112941;1.426944256;9.864110947;9.968816434
0.186125847;0.134075299;1.465251446;9.844957352;9.954301746
0.191161182;0.134075299;1.398213744;9.816226959;9.91621347
0.196165999;0.143652096;1.407790542;9.777919769;9.87978872
0.201201333;0.02873042;1.379060149;9.806650162;9.903182303
0.206236667;0.105344877;1.398213744;9.720458984;9.821070313
0.211272002;0.009576807;1.369483352;9.691728592;9.788012028
0.216276819;0.047884032;1.417367458;9.730035782;9.832843928
0.221312153;-0.02873042;1.244984865;9.701305389;9.78090686
0.226347487;-0.067037649;1.350329757;9.662998199;9.757121435
0.231382821;-0.019153614;1.331176162;9.730035782;9.820692091
0.236387639;-0.095768064;1.350329757;9.701305389;9.795299293
0.241422973;-0.057460841;1.321599364;9.777919769;9.8669976
0.246458307;-0.124498487;1.350329757;9.768342972;9.862018796
0.251493641;-0.153228909;1.331176162;9.768342972;9.859819141
0.256498459;-0.143652096;1.398213744;9.691728592;9.793122112
0.261533793;-0.153228909;1.312022567;9.749189377;9.838270977
0.266569126;-0.258573771;1.359906554;9.701305389;9.799567975
0.271604461;-0.172382519;1.331176162;9.682151794;9.774753658
0.276609279;-0.191536129;1.359906554;9.710882187;9.807510631
0.281644612;-0.153228909;1.22583127;9.739612579;9.817647101
0.286679946;-0.057460841;1.407790542;9.720458984;9.822041479
0.291715281;-0.134075299;1.398213744;9.720458984;9.821420505
0.296750615;-0.143652096;1.321599364;9.710882187;9.80145365
0.301755432;-0.105344877;1.26413846;9.777919769;9.859860983
0.306790766;-0.134075299;1.292868972;9.672574997;9.759518094
0.311826101;-0.067037649;1.359906554;9.739612579;9.834322197
0.316861435;-0.095768064;1.359906554;9.739612579;9.834560008
0.321866252;-0.076614454;1.436521053;9.691728592;9.797911288
0.326901586;-0.047884032;1.331176162;9.643844604;9.735402488
0.331936921;-0.038307227;1.398213744;9.691728592;9.792143392
0.336972255;-0.086191259;1.359906554;9.682151794;9.77756811
0.341977072;-0.019153614;1.455674648;9.662998199;9.772046344
0.347012406;0.009576807;1.426944256;9.682151794;9.786742308
0.352047741;-0.038307227;1.446097851;9.682151794;9.789623578
0.357083075;-0.038307227;1.426944256;9.720458984;9.824711712
0.362087892;-0.019153614;1.417367458;9.749189377;9.851699898
0.367123226;-0.02873042;1.465251446;9.777919769;9.887138224
0.372158561;0.067037649;1.493981838;9.797073364;9.910556104
0.377163377;0;1.398213744;9.844957352;9.94375115
0.382198712;0.047884032;1.388636947;9.892841339;9.989940701
0.387234046;-0.02873042;1.426944256;9.959878922;10.06161933
0.392269381;-0.105344877;1.359906554;9.864110947;9.957968073
0.397274197;-0.067037649;1.388636947;9.921571732;10.01850249
0.402309532;0;1.292868972;9.911994934;9.99595687
0.407344866;-0.02873042;1.398213744;9.797073364;9.896386897
0.412349683;-0.009576807;1.331176162;9.844957352;9.93455117
0.417385017;-0.057460841;1.254561663;9.825803757;9.905738043
0.422420352;-0.02873042;1.340752959;9.806650162;9.897920556
0.427425169;0.009576807;1.369483352;9.730035782;9.825943857
0.432460503;-0.057460841;1.197100878;9.730035782;9.803568155
0.437495837;-0.009576807;1.302445769;9.701305389;9.788349348
0.442531172;0.009576807;1.292868972;9.691728592;9.77758687
0.447535989;0.038307227;1.369483352;9.643844604;9.740671992
0.452571323;-0.009576807;1.350329757;9.47146225;9.567239901
0.457606657;0.038307227;1.302445769;9.47146225;9.560670979
0.462611474;0.047884032;1.417367458;9.576807022;9.681242489
0.467646809;0.038307227;1.379060149;9.557653427;9.656708206
0.472682143;0.038307227;1.398213744;9.557653427;9.659462105
0.47768696;0.105344877;1.388636947;9.739612579;9.838671826
0.482722294;0.095768064;1.503558636;9.672574997;9.789206667
0.487757629;0.038307227;1.417367458;9.777919769;9.880187902
0.492792963;0;1.331176162;9.806650162;9.896586147
0.49779778;-0.067037649;1.359906554;9.873687744;9.967123434
0.502833114;-0.02873042;1.350329757;9.835380554;9.927684853
0.507868449;0.02873042;1.321599364;9.806650162;9.895344244
0.512873265;-0.095768064;1.340752959;9.787496567;9.879366329
0.5179086;-0.095768064;1.359906554;9.854534149;9.948384826
0.522943934;-0.067037649;1.369483352;9.902418137;9.9968927
0.527979269;-0.153228909;1.235408068;9.940725327;10.01836974
0.532984085;-0.181959331;1.359906554;9.892841339;9.987530465
0.53801942;-0.086191259;1.340752959;9.787496567;9.879278135
0.543054754;-0.153228909;1.398213744;9.883264542;9.982855241
0.548059571;-0.153228909;1.407790542;9.825803757;9.927324553
0.553094905;-0.124498487;1.312022567;9.806650162;9.894811291
0.55813024;-0.153228909;1.321599364;9.720458984;9.811086935
0.563135057;-0.134075299;1.273715258;9.643844604;9.728518155
0.568170391;-0.105344877;1.302445769;9.54807663;9.637075794
0.573205725;-0.086191259;1.302445769;9.54807663;9.636885453
0.57824106;-0.009576807;1.369483352;9.557653427;9.655273968
0.583245877;-0.076614454;1.417367458;9.490615845;9.596175769
0.588281211;-0.095768064;1.417367458;9.538499832;9.643706812
0.593316545;-0.02873042;1.484405041;9.519346237;9.634429747
0.598321362;0.019153614;1.388636947;9.576807022;9.676978463
0.603356697;0;1.446097851;9.643844604;9.751663332
0.608392031;0.02873042;1.436521053;9.720458984;9.826074549
0.613427365;-0.009576807;1.369483352;9.749189377;9.844910862
0.618432182;0.02873042;1.312022567;9.892841339;9.97950592
0.623467517;-0.038307227;1.379060149;9.902418137;9.998057776
0.628502851;0.02873042;1.426944256;9.940725327;10.04265978
0.633507668;-0.019153614;1.379060149;9.931148529;10.02645924
0.638543002;-0.057460841;1.359906554;9.950302124;10.04296569
0.643578336;-0.095768064;1.359906554;9.911994934;10.00530664
0.648613671;-0.105344877;1.379060149;9.854534149;9.951117914
0.653618488;-0.105344877;1.283292055;9.777919769;9.86233497
0.658653822;-0.076614454;1.273715258;9.777919769;9.86082833
0.663689156;-0.143652096;1.331176162;9.844957352;9.935585094
0.668693973;-0.248996973;1.22583127;9.835380554;9.914603998
0.673729308;-0.134075299;1.283292055;9.806650162;9.891167882
0.678764642;-0.124498487;1.273715258;9.749189377;9.832829905
0.683799976;-0.105344877;1.321599364;9.720458984;9.810455917
0.688804793;-0.124498487;1.331176162;9.615114212;9.707623353
0.693840128;-0.124498487;1.340752959;9.54807663;9.642555973
0.698875462;-0.076614454;1.426944256;9.500192642;9.607065105
0.703880279;-0.095768064;1.398213744;9.519346237;9.62196061
0.708915613;-0.067037649;1.407790542;9.576807022;9.679958729
0.713950948;-0.019153614;1.436521053;9.54807663;9.655554201
0.718955764;0;1.379060149;9.576807022;9.675589886
0.723991099;0.067037649;1.379060149;9.730035782;9.827507174
0.729026433;0.009576807;1.369483352;9.672574997;9.769047212
0.73403125;0.019153614;1.379060149;9.672574997;9.770408427
0.739066584;0.009576807;1.388636947;9.710882187;9.809670592
0.744101919;-0.019153614;1.359906554;9.720458984;9.815143176
0.749137253;0.019153614;1.436521053;9.730035782;9.835525198
0.75414207;0.019153614;1.407790542;9.806650162;9.907200839
0.759177404;0.009576807;1.398213744;9.892841339;9.991166256
0.764212739;0;1.331176162;9.873687744;9.963018601
0.769217556;0.038307227;1.369483352;9.959878922;10.05366303
0.77425289;0.067037649;1.398213744;9.969455719;10.06725102
0.779288224;0.057460841;1.407790542;9.873687744;9.973709722
0.784323559;-0.009576807;1.369483352;9.825803757;9.920786049
0.789328376;-0.009576807;1.350329757;9.816226959;9.90867266
0.79436371;0.019153614;1.359906554;9.730035782;9.824627678
0.799399044;0.02873042;1.379060149;9.739612579;9.836802607
0.804403861;0.019153614;1.379060149;9.62469101;9.723006263
0.809439196;0.019153614;1.436521053;9.595960617;9.702907799
0.81447453;-0.076614454;1.369483352;9.528923035;9.627135016
0.819509864;-0.095768064;1.484405041;9.567230225;9.682175583
0.824514681;-0.086191259;1.426944256;9.557653427;9.663971123
0.829550016;-0.086191259;1.379060149;9.605537415;9.704410587
0.83458535;-0.153228909;1.379060149;9.62469101;9.724194724
0.839590167;-0.134075299;1.359906554;9.528923035;9.626406195
0.844625501;-0.105344877;1.436521053;9.605537415;9.71293155
0.849660836;-0.153228909;1.465251446;9.557653427;9.670531523
0.854665652;-0.114921682;1.369483352;9.653421402;9.750755684
0.859700987;-0.047884032;1.398213744;9.662998199;9.763750753
0.864736321;-0.076614454;1.426944256;9.691728592;9.796511766
0.869741138;-0.134075299;1.446097851;9.691728592;9.799937667
0.874776472;-0.047884032;1.407790542;9.806650162;9.907298042
0.879811807;-0.02873042;1.426944256;9.806650162;9.909963811
0.884847141;-0.009576807;1.379060149;9.911994934;10.00747432
0.889851958;-0.038307227;1.446097851;9.844957352;9.950670917
0.894887292;-0.067037649;1.340752959;9.911994934;10.0024875
0.899922627;-0.086191259;1.369483352;9.864110947;9.959096262
0.904927444;-0.105344877;1.302445769;9.873687744;9.959777718
0.909962778;-0.076614454;1.340752959;9.854534149;9.945618712
0.914998112;-0.02873042;1.312022567;9.816226959;9.903562004
0.920002929;-0.047884032;1.312022567;9.806650162;9.894143899
0.925038264;-0.105344877;1.359906554;9.864110947;9.957968073
0.930073598;-0.02873042;1.273715258;9.873687744;9.955545473
0.935078415;-0.02873042;1.331176162;9.864110947;9.953569218
0.940113749;0.047884032;1.302445769;9.864110947;9.949841337
0.945149084;-0.057460841;1.417367458;9.816226959;9.918192576
0.950184418;-0.02873042;1.292868972;9.768342972;9.853570928
0.955189235;-0.047884032;1.379060149;9.720458984;9.817913355
