"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
9.140965000E-3;1.321599364E0;8.236053586E-1;9.548076630E0;9.674229581E0
1.417630300E-2;1.235408068E0;8.236053586E-1;9.605537415E0;9.719614596E0
1.918112200E-2;1.321599364E0;8.619126081E-1;9.509769440E0;9.639773494E0
2.421646000E-2;1.235408068E0;8.427590132E-1;9.385271072E0;9.503672393E0
2.925179700E-2;1.206677675E0;8.810662031E-1;9.452308655E0;9.569664967E0
3.425661800E-2;1.331176162E0;8.331822157E-1;9.519346237E0;9.648014063E0
3.929195500E-2;1.302445769E0;9.385270476E-1;9.624691010E0;9.757657251E0
4.432729300E-2;1.407790542E0;9.768342972E-1;9.682151794E0;9.832606105E0
4.933211300E-2;1.532289028E0;9.959878922E-1;9.682151794E0;9.853119553E0
5.436745000E-2;1.704671621E0;1.053448796E0;9.806650162E0;1.000929803E1
5.940278800E-2;1.819593310E0;1.091755986E0;9.931148529E0;1.015532186E1
6.443812600E-2;1.752555609E0;1.120486379E0;1.006522369E1;1.027792143E1
6.944294600E-2;1.762132406E0;1.091755986E0;1.017056847E1;1.037966785E1
7.447828300E-2;1.675941229E0;9.481038451E-1;1.020887566E1;1.038887973E1
7.951362000E-2;1.618480325E0;9.097966552E-1;1.010353088E1;1.027270874E1
8.451844100E-2;1.465251446E0;8.714894056E-1;1.003649330E1;1.018025802E1
8.955377900E-2;1.388636947E0;8.619126081E-1;9.777919769E0;9.913572561E0
9.458911600E-2;1.292868972E0;8.236053586E-1;9.730035782E0;9.850047324E0
9.959393600E-2;1.292868972E0;8.427590132E-1;9.643844604E0;9.766549631E0
1.046292730E-1;1.312022567E0;7.757213712E-1;9.557653427E0;9.678423730E0
1.096646110E-1;1.283292055E0;8.714894056E-1;9.576807022E0;9.701626927E0
1.146694310E-1;1.331176162E0;7.948749661E-1;9.567230225E0;9.692045726E0
1.197047690E-1;1.388636947E0;8.236053586E-1;9.739612579E0;9.872522046E0
1.247401060E-1;1.369483352E0;8.619126081E-1;9.787496567E0;9.920356195E0
1.297754440E-1;1.359906554E0;8.236053586E-1;9.835380554E0;9.963050851E0
1.347802630E-1;1.379060149E0;8.619126081E-1;9.854534149E0;9.987819759E0
1.398156010E-1;1.340752959E0;8.619126081E-1;9.864110947E0;9.992056676E0
1.448509380E-1;1.321599364E0;9.193734527E-1;9.816226959E0;9.947370715E0
1.498557590E-1;1.225831270E0;9.193734527E-1;9.730035782E0;9.849949551E0
1.548910960E-1;1.130063176E0;9.193734527E-1;9.672574997E0;9.781666392E0
1.599264340E-1;1.130063176E0;8.044517636E-1;9.595960617E0;9.695702429E0
1.649312540E-1;1.101332784E0;9.002198577E-1;9.653421402E0;9.757657222E0
1.699665910E-1;1.101332784E0;7.661445141E-1;9.567230225E0;9.660838757E0
1.750019290E-1;1.120486379E0;8.236053586E-1;9.691728592E0;9.790986600E0
1.800372670E-1;1.120486379E0;7.469909191E-1;9.662998199E0;9.756383519E0
1.850420870E-1;1.244984865E0;8.714894056E-1;9.461885452E0;9.583149660E0
1.900774240E-1;1.522712231E0;9.959878922E-1;8.858546257E0;9.043477551E0
1.951127610E-1;1.580173135E0;1.015141487E0;9.050082207E0;9.242913357E0
2.001175820E-1;1.426944256E0;9.481038451E-1;9.346963882E0;9.502673552E0
2.051529200E-1;1.426944256E0;9.481038451E-1;9.701305389E0;9.851415993E0
2.101882570E-1;1.407790542E0;8.906430602E-1;1.018014526E1;1.031554540E1
2.152235940E-1;1.407790542E0;8.714894056E-1;1.048660374E1;1.061650724E1
2.202284140E-1;1.321599364E0;8.810662031E-1;1.063983250E1;1.075773852E1
2.252637520E-1;1.206677675E0;8.619126081E-1;1.063983250E1;1.074267192E1
2.302990890E-1;1.101332784E0;8.714894056E-1;1.032379818E1;1.041888845E1
2.353039100E-1;1.110909581E0;7.469909191E-1;9.969455719E0;1.005893448E1
2.403392470E-1;9.768342972E-1;7.469909191E-1;9.758766174E0;9.835940114E0
2.453745850E-1;9.002198577E-1;7.374141216E-1;9.509769440E0;9.580704054E0
2.503794040E-1;8.140285611E-1;7.852981687E-1;9.414001465E0;9.481706560E0
2.554147420E-1;8.044517636E-1;7.852981687E-1;9.222464561E0;9.290731319E0
2.604500790E-1;8.236053586E-1;7.565677166E-1;9.136273384E0;9.204466951E0
2.654549000E-1;7.852981687E-1;6.991068721E-1;9.117119789E0;9.177544164E0
2.704902370E-1;8.140285611E-1;6.416460276E-1;9.327810287E0;9.385222261E0
2.755255750E-1;8.523358107E-1;6.991068721E-1;9.557653427E0;9.621016879E0
2.805609120E-1;8.906430602E-1;7.182605267E-1;9.768342972E0;9.835124181E0
2.855657320E-1;9.959878922E-1;6.799532771E-1;9.911994934E0;9.985087477E0
2.906010700E-1;1.015141487E0;8.044517636E-1;1.002691650E1;1.011022796E1
2.956364080E-1;1.072602391E0;7.661445141E-1;9.988609314E0;1.007520567E1
3.006412280E-1;1.053448796E0;7.565677166E-1;1.008437729E1;1.016743893E1
3.056765650E-1;1.072602391E0;8.619126081E-1;1.022802925E1;1.032017207E1
3.107119020E-1;1.034295082E0;7.852981687E-1;1.027591324E1;1.035764705E1
3.157167230E-1;8.906430602E-1;8.236053586E-1;1.027591324E1;1.034726842E1
3.207520610E-1;9.385270476E-1;7.565677166E-1;1.012268448E1;1.019421251E1
