"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.626268900E-2;-1.819593310E-1;6.320692301E-1;9.768342972E0;9.790461946E0
2.129802500E-2;-1.149216816E-1;7.086837292E-1;9.825803757E0;9.851997721E0
2.630284300E-2;-2.873041928E-1;7.182605267E-1;9.758766174E0;9.789379915E0
3.133817900E-2;-1.819593310E-1;7.086837292E-1;9.854534149E0;9.881659027E0
3.637351400E-2;-2.585737705E-1;7.086837292E-1;9.825803757E0;9.854720315E0
4.137833200E-2;-2.489969730E-1;7.565677166E-1;9.921571732E0;9.953490836E0
4.641366800E-2;-2.968810201E-1;6.512228847E-1;9.892841339E0;9.918696454E0
5.144900400E-2;-3.064578176E-1;6.607996821E-1;9.883264542E0;9.910070162E0
5.648433900E-2;-2.968810201E-1;6.607996821E-1;9.844957352E0;9.871574333E0
6.148915700E-2;-3.064578176E-1;6.799532771E-1;9.777919769E0;9.806322851E0
6.652449200E-2;-2.585737705E-1;6.895300746E-1;9.777919769E0;9.805612022E0
7.155982900E-2;-2.011129409E-1;6.703764796E-1;9.844957352E0;9.869804268E0
7.659516400E-2;-2.681505978E-1;6.224924326E-1;9.739612579E0;9.763168275E0
8.159998200E-2;-2.968810201E-1;6.991068721E-1;9.806650162E0;9.836019325E0
8.663531700E-2;-2.585737705E-1;6.703764796E-1;9.701305389E0;9.727877018E0
9.167065300E-2;-2.968810201E-1;6.991068721E-1;9.710882187E0;9.740540109E0
9.670598800E-2;-2.298433632E-1;6.416460276E-1;9.787496567E0;9.811199042E0
1.017413250E-1;-2.873041928E-1;6.799532771E-1;9.806650162E0;9.834392078E0
1.067461420E-1;-3.926490843E-1;7.182605267E-1;9.940725327E0;9.974371735E0
1.117814780E-1;-2.873041928E-1;7.469909191E-1;9.969455719E0;1.000152921E1
1.168168130E-1;-2.777273953E-1;7.278373241E-1;9.988609314E0;1.001894185E1
1.218521480E-1;-3.447650373E-1;5.937620401E-1;1.006522369E1;1.008861459E1
1.268569670E-1;-2.202665508E-1;6.799532771E-1;1.001733971E1;1.004280581E1
1.318923030E-1;-3.351882398E-1;6.895300746E-1;9.902418137E0;9.932053556E0
1.369276380E-1;-2.585737705E-1;6.512228847E-1;9.816226959E0;9.841202333E0
1.419629730E-1;-3.447650373E-1;6.607996821E-1;9.854534149E0;9.882679922E0
1.469983090E-1;-3.447650373E-1;6.703764796E-1;9.797073364E0;9.826032468E0
1.520031280E-1;-2.968810201E-1;6.703764796E-1;9.825803757E0;9.853119426E0
1.570384630E-1;-2.202665508E-1;6.416460276E-1;9.797073364E0;9.820533259E0
1.620737980E-1;-2.873041928E-1;6.799532771E-1;9.768342972E0;9.796193372E0
1.671091340E-1;-2.681505978E-1;6.991068721E-1;9.797073364E0;9.825645102E0
1.721139530E-1;-1.915361285E-1;6.224924326E-1;9.806650162E0;9.828253676E0
1.771492880E-1;-2.489969730E-1;6.512228847E-1;9.768342972E0;9.793192286E0
1.821846230E-1;-2.873041928E-1;6.416460276E-1;9.806650162E0;9.831817773E0
1.872199590E-1;-2.873041928E-1;6.512228847E-1;9.844957352E0;9.870654497E0
1.922552940E-1;-2.394201756E-1;5.937620401E-1;9.892841339E0;9.913535451E0
1.972601120E-1;-2.489969730E-1;6.129156351E-1;9.873687744E0;9.895826127E0
2.022954480E-1;-2.873041928E-1;6.607996821E-1;9.797073364E0;9.823535332E0
2.073307840E-1;-2.202665508E-1;6.895300746E-1;9.730035782E0;9.756923972E0
2.123661190E-1;-1.723825186E-1;6.799532771E-1;9.758766174E0;9.783944472E0
2.174014550E-1;-2.777273953E-1;6.895300746E-1;9.739612579E0;9.767939262E0
2.224062720E-1;-2.011129409E-1;6.991068721E-1;9.787496567E0;9.814493664E0
2.274416080E-1;-1.532289088E-1;6.799532771E-1;9.758766174E0;9.783625749E0
2.324769440E-1;-1.915361285E-1;7.374141216E-1;9.720458984E0;9.750271204E0
2.375122800E-1;-1.628057212E-1;6.895300746E-1;9.816226959E0;9.841761486E0
2.425476150E-1;-2.777273953E-1;6.895300746E-1;9.787496567E0;9.815685064E0
2.475524330E-1;-1.628057212E-1;6.895300746E-1;9.797073364E0;9.822657682E0
2.525877680E-1;-2.202665508E-1;6.895300746E-1;9.758766174E0;9.785575421E0
2.576231040E-1;-2.202665508E-1;7.661445141E-1;9.835380554E0;9.867634236E0
2.626584400E-1;-2.777273953E-1;7.565677166E-1;9.959878922E0;9.992432904E0
2.676937750E-1;-2.394201756E-1;6.607996821E-1;9.902418137E0;9.927329107E0
2.726985930E-1;-2.202665508E-1;7.086837292E-1;9.998186111E0;1.002569077E1
2.777339290E-1;-2.681505978E-1;7.374141216E-1;9.921571732E0;9.952550927E0
2.827692640E-1;-2.011129409E-1;6.703764796E-1;9.883264542E0;9.908015394E0
2.878046000E-1;-2.489969730E-1;6.033388376E-1;9.864110947E0;9.885681667E0
2.928399360E-1;-2.873041928E-1;6.799532771E-1;9.787496567E0;9.815292619E0
2.978447540E-1;-3.256114423E-1;6.320692301E-1;9.825803757E0;9.851495003E0
3.028800890E-1;-3.064578176E-1;6.703764796E-1;9.844957352E0;9.872512663E0
3.079154240E-1;-3.160346150E-1;6.224924326E-1;9.739612579E0;9.764600755E0
3.129507600E-1;-3.734954596E-1;6.799532771E-1;9.787496567E0;9.818193539E0
3.179555790E-1;-3.447650373E-1;6.895300746E-1;9.797073364E0;9.827357791E0
3.229909140E-1;-2.585737705E-1;6.991068721E-1;9.710882187E0;9.739447811E0
3.280262490E-1;-3.256114423E-1;6.512228847E-1;9.825803757E0;9.852742437E0
3.330615850E-1;-3.256114423E-1;6.991068721E-1;9.844957352E0;9.875118151E0
3.380969200E-1;-3.447650373E-1;7.278373241E-1;9.950302124E0;9.982841402E0
3.431017390E-1;-3.064578176E-1;6.991068721E-1;9.959878922E0;9.989086792E0
3.481370740E-1;-2.585737705E-1;6.799532771E-1;9.902418137E0;9.929102769E0
3.531724100E-1;-2.489969730E-1;6.799532771E-1;9.940725327E0;9.967063558E0
3.582077450E-1;-2.968810201E-1;7.469909191E-1;9.864110947E0;9.896808503E0
3.632430800E-1;-2.873041928E-1;7.278373241E-1;9.854534149E0;9.885551789E0
3.682478990E-1;-2.873041928E-1;6.607996821E-1;9.883264542E0;9.909496350E0
3.732832350E-1;-2.681505978E-1;6.991068721E-1;9.825803757E0;9.854292193E0
3.783185700E-1;-1.915361285E-1;6.512228847E-1;9.787496567E0;9.811007409E0
3.833539050E-1;-2.202665508E-1;7.086837292E-1;9.825803757E0;9.853789598E0
3.883892410E-1;-2.298433632E-1;6.991068721E-1;9.777919769E0;9.805574609E0
3.933940600E-1;-2.202665508E-1;6.799532771E-1;9.701305389E0;9.727598885E0
3.984293950E-1;-2.585737705E-1;6.991068721E-1;9.682151794E0;9.710801933E0
4.034647300E-1;-2.968810201E-1;6.703764796E-1;9.691728592E0;9.719421077E0
4.085000660E-1;-2.873041928E-1;7.086837292E-1;9.768342972E0;9.798229470E0
4.135048840E-1;-2.489969730E-1;7.661445141E-1;9.825803757E0;9.858772559E0
4.185402200E-1;-2.681505978E-1;6.607996821E-1;9.797073364E0;9.822993814E0
4.235755550E-1;-2.681505978E-1;6.895300746E-1;9.864110947E0;9.891816882E0
4.286108910E-1;-2.202665508E-1;6.703764796E-1;9.844957352E0;9.870213130E0
4.336462260E-1;-2.489969730E-1;7.374141216E-1;9.854534149E0;9.885222424E0
4.386510440E-1;-1.819593310E-1;6.799532771E-1;9.835380554E0;9.860535295E0
