"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.421524200E-2;4.788403213E-2;1.589749932E0;9.682151794E0;9.811914242E0
1.925058600E-2;9.576806799E-3;1.618480325E0;9.720458984E0;9.854282985E0
2.428593100E-2;-3.830722719E-2;1.522712231E0;9.825803757E0;9.943165464E0
2.932127600E-2;4.788403213E-2;1.628057122E0;9.720458984E0;9.855972085E0
3.432610300E-2;-2.873042040E-2;1.589749932E0;9.835380554E0;9.963073870E0
3.936144800E-2;-8.619125932E-2;1.608903527E0;9.787496567E0;9.919228223E0
4.439679300E-2;-5.746084079E-2;1.541865945E0;9.768342972E0;9.889447748E0
4.943213700E-2;-3.830722719E-2;1.599326730E0;9.873687744E0;1.000245085E1
5.443696500E-2;-9.576806426E-2;1.580173135E0;9.844957352E0;9.971424367E0
5.947230900E-2;-6.703764945E-2;1.580173135E0;9.797073364E0;9.923914938E0
6.450765400E-2;2.873042040E-2;1.618480325E0;9.806650162E0;9.939350653E0
6.954299900E-2;5.746084079E-2;1.618480325E0;9.806650162E0;9.939475223E0
7.457834300E-2;0.000000000E0;1.599326730E0;9.739612579E0;9.870050617E0
7.958317100E-2;0.000000000E0;1.589749932E0;9.595960617E0;9.726755112E0
8.461851600E-2;7.661445439E-2;1.608903527E0;9.461885452E0;9.598005868E0
8.965386000E-2;6.703764945E-2;1.561019540E0;9.442731857E0;9.571126422E0
9.468920400E-2;2.873042040E-2;1.589749932E0;9.414001465E0;9.547332290E0
9.972455000E-2;1.915361360E-2;1.589749932E0;9.509769440E0;9.641752253E0
1.047293770E-1;7.661445439E-2;1.580173135E0;9.509769440E0;9.640463252E0
1.097647220E-1;6.703764945E-2;1.618480325E0;9.672574997E0;9.807276874E0
1.148000660E-1;5.746084079E-2;1.637633920E0;9.739612579E0;9.876497345E0
1.198354110E-1;1.436520964E-1;1.599326730E0;9.797073364E0;9.927795748E0
1.248402390E-1;1.819593310E-1;1.704671621E0;9.864110947E0;1.001197779E1
1.298755830E-1;1.340752989E-1;1.637633920E0;9.787496567E0;9.924460191E0
1.349109270E-1;2.106897533E-1;1.656787634E0;9.768342972E0;9.910088791E0
