"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.498264200E-2;-1.915361360E-2;-1.436520964E-1;9.835380554E0;9.836448212E0
2.001797700E-2;-5.746084079E-2;-2.202665508E-1;9.854534149E0;9.857163000E0
2.505331300E-2;0.000000000E0;-1.436520964E-1;9.883264542E0;9.884308470E0
3.005813100E-2;-4.788403213E-2;-2.202665508E-1;9.883264542E0;9.885834726E0
3.509346600E-2;-1.915361360E-2;-1.723825186E-1;9.902418137E0;9.903936972E0
4.012880100E-2;-8.619125932E-2;-1.340752989E-1;9.864110947E0;9.865398618E0
4.516413700E-2;-9.576806426E-2;-1.723825186E-1;9.768342972E0;9.770333243E0
5.016895500E-2;-4.788403213E-2;-1.532289088E-1;9.854534149E0;9.855841683E0
5.520429000E-2;-7.661445439E-2;-2.011129409E-1;9.921571732E0;9.923905573E0
6.023962500E-2;0.000000000E0;-2.106897533E-1;9.816226959E0;9.818487760E0
6.524444400E-2;-4.788403213E-2;-1.149216816E-1;9.844957352E0;9.845744519E0
7.027978000E-2;-5.746084079E-2;-1.723825186E-1;9.797073364E0;9.798758288E0
7.531511500E-2;0.000000000E0;-1.244984865E-1;9.854534149E0;9.855320551E0
8.035045000E-2;-8.619125932E-2;-1.340752989E-1;9.749189377E0;9.750492225E0
8.535526800E-2;-1.244984865E-1;-1.532289088E-1;9.911994934E0;9.913960992E0
9.039060400E-2;1.915361360E-2;-6.703764945E-2;9.825803757E0;9.826051108E0
9.542593900E-2;-2.873042040E-2;-1.340752989E-1;9.892841339E0;9.893791558E0
1.004307570E-1;9.576806799E-3;-1.340752989E-1;9.797073364E0;9.797995428E0
1.054660920E-1;-4.788403213E-2;-1.149216816E-1;9.902418137E0;9.903200736E0
1.105014280E-1;-4.788403213E-2;-1.436520964E-1;9.777919769E0;9.779092178E0
1.155062460E-1;-1.053448766E-1;-1.053448766E-1;1.000776291E1;1.000887174E1
1.205415820E-1;-1.915361360E-2;-1.244984865E-1;9.911994934E0;9.912795282E0
1.255769170E-1;-4.788403213E-2;-1.244984865E-1;9.806650162E0;9.807557298E0
1.306122530E-1;-5.746084079E-2;-1.723825186E-1;9.854534149E0;9.856209250E0
1.356170700E-1;9.576806799E-3;-1.340752989E-1;9.854534149E0;9.855450837E0
1.406524060E-1;-1.053448766E-1;-7.661445439E-2;9.883264542E0;9.884122891E0
1.456877410E-1;-1.915361360E-2;-1.628057212E-1;9.854534149E0;9.855897517E0
1.506925590E-1;-3.830722719E-2;-1.532289088E-1;9.835380554E0;9.836648677E0
1.557278940E-1;-9.576806426E-2;-1.628057212E-1;9.825803757E0;9.827619075E0
1.607632300E-1;-4.788403213E-2;-1.628057212E-1;9.998186111E0;9.999626198E0
1.657680490E-1;-8.619125932E-2;-2.011129409E-1;9.797073364E0;9.799516409E0
1.708033840E-1;3.830722719E-2;-1.532289088E-1;9.816226959E0;9.817497556E0
1.758387190E-1;1.915361360E-2;-1.244984865E-1;9.931148529E0;9.931947334E0
1.808435370E-1;-9.576806426E-2;-1.915361285E-1;9.825803757E0;9.828137009E0
1.858788730E-1;5.746084079E-2;-1.532289088E-1;9.854534149E0;9.855892864E0
1.909142080E-1;-3.830722719E-2;-1.149216816E-1;9.730035782E0;9.730789832E0
1.959190260E-1;-2.873042040E-2;-1.628057212E-1;9.979032516E0;9.980401851E0
2.009543610E-1;-7.661445439E-2;-4.788403213E-2;9.720458984E0;9.720878845E0
2.059896970E-1;-1.915361360E-2;-1.340752989E-1;9.825803757E0;9.826737124E0
2.110250320E-1;9.576806799E-3;-1.915361285E-1;9.873687744E0;9.875549983E0
2.160298500E-1;-6.703764945E-2;-1.915361285E-1;9.806650162E0;9.808749540E0
2.210651850E-1;-1.915361360E-2;-1.244984865E-1;9.969455719E0;9.970251455E0
2.261005200E-1;-4.788403213E-2;-1.340752989E-1;9.825803757E0;9.826835123E0
2.311053390E-1;-2.873042040E-2;-1.244984865E-1;9.854534149E0;9.855362429E0
2.361406750E-1;-4.788403213E-2;-1.436520964E-1;9.777919769E0;9.779092178E0
2.411760100E-1;-2.873042040E-2;-1.532289088E-1;9.835380554E0;9.836616043E0
2.461808280E-1;0.000000000E0;-2.011129409E-1;9.806650162E0;9.808712138E0
2.512161630E-1;-5.746084079E-2;-1.436520964E-1;9.806650162E0;9.807870567E0
2.562514990E-1;-4.788403213E-2;-1.532289088E-1;9.854534149E0;9.855841683E0
2.612563160E-1;-6.703764945E-2;-1.244984865E-1;9.911994934E0;9.913003455E0
