"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.317896500E-2;-1.522712231E0;1.216254473E0;9.088389397E0;9.294985170E0
1.818378400E-2;-1.580173135E0;1.235408068E0;9.117119789E0;9.335151497E0
2.321912100E-2;-1.493981838E0;1.244984865E0;9.069235802E0;9.275397947E0
2.825445700E-2;-1.484405041E0;1.177947283E0;9.069235802E0;9.265098820E0
3.325927600E-2;-1.426944256E0;1.130063176E0;9.088389397E0;9.268874501E0
3.829461300E-2;-1.436521053E0;1.120486379E0;9.126696587E0;9.306754163E0
4.332995000E-2;-1.292868972E0;1.139639974E0;9.270348549E0;9.429191464E0
4.836528600E-2;-1.331176162E0;1.158793569E0;9.461885452E0;9.625077081E0
5.337010500E-2;-1.283292055E0;1.091755986E0;9.548076630E0;9.695593688E0
5.840544100E-2;-1.331176162E0;1.101332784E0;9.749189377E0;9.901093747E0
6.344077800E-2;-1.388636947E0;1.120486379E0;9.950302124E0;1.010902145E1
6.844559800E-2;-1.340752959E0;1.082179189E0;1.007480049E1;1.022107310E1
7.348093400E-2;-1.398213744E0;1.149216771E0;1.027591324E1;1.043408327E1
7.851627000E-2;-1.417367458E0;1.139639974E0;1.038125896E1;1.053936656E1
8.352108900E-2;-1.407790542E0;1.082179189E0;1.041956615E1;1.056978452E1
8.855642600E-2;-1.484405041E0;1.053448796E0;1.033337498E1;1.049246640E1
9.359176200E-2;-1.455674648E0;1.072602391E0;1.026633644E1;1.042435267E1
9.862709800E-2;-1.532289028E0;1.110909581E0;1.015141487E1;1.032633786E1
1.036319180E-1;-1.426944256E0;1.139639974E0;1.004607010E1;1.021070387E1
1.086672540E-1;-1.417367458E0;1.101332784E0;9.768342972E0;9.931887476E0
1.137025910E-1;-1.436521053E0;1.168370485E0;9.624691010E0;9.801191731E0
1.187074110E-1;-1.417367458E0;1.091755986E0;9.519346237E0;9.686011275E0
1.237427470E-1;-1.407790542E0;1.063025594E0;9.385271072E0;9.549618355E0
1.287780830E-1;-1.465251446E0;1.110909581E0;9.299078941E0;9.479132400E0
1.337829020E-1;-1.446097851E0;1.149216771E0;9.337387085E0;9.518334715E0
1.388182390E-1;-1.436521053E0;1.101332784E0;9.212887764E0;9.389026978E0
1.438535750E-1;-1.436521053E0;1.168370485E0;9.366117477E0;9.547399590E0
1.488583950E-1;-1.398213744E0;1.110909581E0;9.346963882E0;9.516031504E0
1.538937310E-1;-1.388636947E0;1.101332784E0;9.461885452E0;9.626449126E0
1.589290680E-1;-1.426944256E0;1.177947283E0;9.643844604E0;9.819748900E0
1.639644040E-1;-1.436521053E0;1.177947283E0;9.701305389E0;9.877574540E0
1.689692230E-1;-1.417367458E0;1.177947283E0;9.701305389E0;9.874807166E0
1.740045590E-1;-1.426944256E0;1.177947283E0;9.758766174E0;9.932635449E0
1.790398960E-1;-1.417367458E0;1.177947283E0;9.844957352E0;1.001597102E1
1.840447150E-1;-1.379060149E0;1.177947283E0;9.806650162E0;9.972951122E0
1.890800520E-1;-1.388636947E0;1.187524080E0;9.720458984E0;9.890695065E0
1.941153880E-1;-1.407790542E0;1.130063176E0;9.806650162E0;9.971424391E0
1.991202080E-1;-1.417367458E0;1.130063176E0;9.672574997E0;9.840969483E0
2.041555440E-1;-1.302445769E0;1.149216771E0;9.643844604E0;9.799020508E0
2.091908810E-1;-1.312022567E0;1.168370485E0;9.701305389E0;9.859098289E0
2.142262170E-1;-1.302445769E0;1.139639974E0;9.586383820E0;9.741349957E0
2.192310360E-1;-1.302445769E0;1.139639974E0;9.615114212E0;9.769624638E0
2.242663720E-1;-1.321599364E0;1.168370485E0;9.634267807E0;9.794428551E0
2.293017090E-1;-1.379060149E0;1.110909581E0;9.595960617E0;9.757990939E0
2.343065290E-1;-1.340752959E0;1.149216771E0;9.634267807E0;9.794765636E0
2.393418650E-1;-1.312022567E0;1.130063176E0;9.682151794E0;9.835777009E0
2.443772010E-1;-1.350329757E0;1.168370485E0;9.710882187E0;9.873687907E0
2.493820200E-1;-1.407790542E0;1.130063176E0;9.806650162E0;9.971424391E0
2.544173570E-1;-1.331176162E0;1.149216771E0;9.844957352E0;1.000079569E1
2.594526940E-1;-1.379060149E0;1.158793569E0;9.777919769E0;9.942450626E0
2.644880300E-1;-1.331176162E0;1.168370485E0;9.892841339E0;1.005014574E1
2.694928490E-1;-1.369483352E0;1.216254473E0;9.844957352E0;1.001388760E1
2.745281860E-1;-1.292868972E0;1.197100878E0;9.921571732E0;1.007681231E1
2.795635220E-1;-1.407790542E0;1.235408068E0;9.902418137E0;1.007799545E1
2.845683420E-1;-1.321599364E0;1.206677675E0;9.739612579E0;9.902663737E0
2.896036780E-1;-1.417367458E0;1.168370485E0;9.701305389E0;9.873669346E0
