"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
7.906300000E-3;-6.703764796E-1;8.331822157E-1;9.739612579E0;9.798145254E0
1.294163400E-2;-7.469909191E-1;7.757213712E-1;9.835380554E0;9.894162406E0
1.797696700E-2;-8.331822157E-1;8.044517636E-1;9.825803757E0;9.893824069E0
2.301230100E-2;-7.278373241E-1;8.523358107E-1;9.806650162E0;9.870491928E0
2.801711700E-2;-6.607996821E-1;8.331822157E-1;9.931148529E0;9.987920701E0
3.305245100E-2;-6.512228847E-1;7.182605267E-1;9.864110947E0;9.911643365E0
3.808778400E-2;-7.278373241E-1;7.757213712E-1;9.787496567E0;9.845129753E0
4.312311800E-2;-6.703764796E-1;8.714894056E-1;9.787496567E0;9.849060232E0
4.812793300E-2;-6.607996821E-1;7.757213712E-1;9.844957352E0;9.897554502E0
5.316326700E-2;-7.278373241E-1;8.427590132E-1;9.835380554E0;9.898217040E0
5.819860100E-2;-7.852981687E-1;7.948749661E-1;9.864110947E0;9.927195183E0
6.323393500E-2;-7.661445141E-1;8.044517636E-1;9.844957352E0;9.907436869E0
6.823875000E-2;-7.565677166E-1;7.852981687E-1;9.873687744E0;9.933720229E0
7.327408400E-2;-7.374141216E-1;7.565677166E-1;9.835380554E0;9.891960622E0
7.830941700E-2;-6.320692301E-1;7.182605267E-1;9.873687744E0;9.919935452E0
8.334475100E-2;-6.607996821E-1;8.714894056E-1;9.806650162E0;9.867448373E0
8.834956700E-2;-6.512228847E-1;7.948749661E-1;9.768342972E0;9.822242202E0
9.338490100E-2;-6.416460276E-1;7.086837292E-1;9.777919769E0;9.824543616E0
9.842023400E-2;-7.086837292E-1;7.278373241E-1;9.701305389E0;9.754348059E0
1.034555680E-1;-6.416460276E-1;6.991068721E-1;9.643844604E0;9.690417886E0
1.084603840E-1;-8.140285611E-1;7.852981687E-1;9.787496567E0;9.852635422E0
1.134957180E-1;-7.469909191E-1;8.523358107E-1;9.682151794E0;9.748258057E0
1.185310510E-1;-7.661445141E-1;7.469909191E-1;9.701305389E0;9.760138273E0
1.235358670E-1;-8.140285611E-1;7.182605267E-1;9.787496567E0;9.847518963E0
1.285712000E-1;-8.810662031E-1;8.140285611E-1;9.825803757E0;9.898754448E0
1.336065340E-1;-8.810662031E-1;7.469909191E-1;9.854534149E0;9.922001632E0
1.386418670E-1;-8.236053586E-1;8.236053586E-1;9.854534149E0;9.923129288E0
1.436466840E-1;-7.852981687E-1;8.044517636E-1;9.835380554E0;9.899421523E0
1.486820170E-1;-8.140285611E-1;7.565677166E-1;9.816226959E0;9.878934605E0
1.537173510E-1;-8.523358107E-1;8.427590132E-1;9.873687744E0;9.946176590E0
1.587526840E-1;-7.852981687E-1;8.044517636E-1;9.864110947E0;9.927966590E0
1.637575010E-1;-7.852981687E-1;8.619126081E-1;9.835380554E0;9.904256519E0
1.687928340E-1;-7.852981687E-1;8.619126081E-1;9.883264542E0;9.951809110E0
