"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.505858100E-2;-1.283292055E0;2.231395960E0;9.260771751E0
2.009391700E-2;-1.522712231E0;2.183511972E0;9.289502144E0
2.512925100E-2;-9.768342972E-1;2.202665567E0;9.308655739E0
3.016458600E-2;-8.810662031E-1;2.288856745E0;9.576807022E0
3.516940300E-2;-8.331822157E-1;2.298433542E0;9.950302124E0
4.020473800E-2;-7.661445141E-1;2.394201756E0;1.015141487E1
4.524007300E-2;-1.024718285E0;2.403778553E0;1.024718285E1
5.027540800E-2;-1.168370485E0;2.346317768E0;1.024718285E1
5.528022500E-2;-1.149216771E0;2.317587137E0;1.006522369E1
6.031556000E-2;-1.197100878E0;2.193088770E0;9.902418137E0
6.535089400E-2;-1.216254473E0;2.126051188E0;9.500192642E0
7.035571200E-2;-1.244984865E0;2.145204782E0;9.394847870E0
7.539104700E-2;-1.139639974E0;2.193088770E0;9.117119789E0
8.042638200E-2;-1.082179189E0;2.231395960E0;8.896853447E0
8.546171600E-2;-9.385270476E-1;2.260126352E0;9.251194954E0
9.046653400E-2;-8.236053586E-1;2.422932148E0;9.299078941E0
9.550186800E-2;-7.469909191E-1;2.461239338E0;9.557653427E0
1.005372040E-1;-7.086837292E-1;2.585737944E0;9.634267807E0
1.055420200E-1;-7.948749661E-1;2.681505919E0;9.586383820E0
1.105773560E-1;-9.193734527E-1;2.643198729E0;9.548076630E0
1.156126900E-1;-1.072602391E0;2.825158119E0;9.423578262E0
1.206175080E-1;-1.225831270E0;2.873042107E0;9.212887764E0
1.256528420E-1;-1.350329757E0;3.016694069E0;9.097966194E0
1.306881770E-1;-1.599326730E0;3.007117271E0;8.973467827E0
1.357235120E-1;-1.733402014E0;3.007117271E0;9.002198219E0
1.407283290E-1;-1.685518026E0;2.920926094E0;8.944737434E0
1.457636640E-1;-1.647210717E0;2.758120298E0;9.011775017E0
1.507989990E-1;-1.522712231E0;2.652775526E0;8.829815865E0
1.558038170E-1;-1.417367458E0;2.499546528E0;8.734047890E0
1.608391510E-1;-1.139639974E0;2.499546528E0;8.791508675E0
1.658744850E-1;-1.043871999E0;2.518700123E0;8.743624687E0
1.708793030E-1;-8.523358107E-1;2.537853718E0;8.896853447E0
1.759146380E-1;-6.416460276E-1;2.518700123E0;9.011775017E0
1.809499730E-1;-4.979939461E-1;2.652775526E0;9.088389397E0
1.859853070E-1;-3.639186621E-1;2.691082716E0;8.963891029E0
1.909901250E-1;-2.202665508E-1;2.691082716E0;8.829815865E0
1.960254600E-1;-1.149216816E-1;2.681505919E0;8.676587105E0
2.010607940E-1;5.746084079E-2;2.710236311E0;8.619126320E0
2.060656120E-1;9.576806426E-2;2.748543501E0;8.762778282E0
2.111009460E-1;1.244984865E-1;2.691082716E0;8.772355080E0
2.161362820E-1;4.788403213E-2;2.671929121E0;8.801085472E0
2.211716160E-1;1.436520964E-1;2.633621931E0;8.954314232E0
2.261764340E-1;2.681505978E-1;2.489969730E0;9.270348549E0
2.312117680E-1;3.064578176E-1;2.365471363E0;9.490615845E0
2.362471030E-1;4.596867263E-1;2.432508945E0;9.844957352E0
2.412824380E-1;5.554547906E-1;2.394201756E0;1.006522369E1
2.462872550E-1;5.937620401E-1;2.528276920E0;1.032379818E1
2.513225900E-1;5.458779931E-1;2.652775526E0;1.038125896E1
2.563579250E-1;5.746083856E-1;2.604891539E0;1.046745014E1
2.613932590E-1;4.884171486E-1;2.576161146E0;1.036210537E1
2.663980770E-1;1.436520964E-1;2.566584110E0;1.018014526E1
2.714334110E-1;-1.244984865E-1;2.499546528E0;9.921571732E0
2.764687470E-1;-2.489969730E-1;2.489969730E0;9.490615845E0
2.815040810E-1;-3.926490843E-1;2.451662540E0;9.078812599E0
2.865088990E-1;-4.022258818E-1;2.422932148E0;8.820239067E0
2.915442330E-1;-3.926490843E-1;2.403778553E0;8.695740700E0
2.965795690E-1;-4.022258818E-1;2.365471363E0;8.810662270E0
3.016149030E-1;-3.926490843E-1;2.394201756E0;9.097966194E0
3.066197210E-1;-3.734954596E-1;2.451662540E0;9.346963882E0
3.116550550E-1;-4.692635238E-1;2.489969730E0;9.567230225E0
3.166903900E-1;-5.650315881E-1;2.422932148E0;9.538499832E0
3.216952070E-1;-6.895300746E-1;2.451662540E0;9.653421402E0
3.267305420E-1;-7.757213712E-1;2.384624958E0;9.816226959E0
3.317658770E-1;-7.757213712E-1;2.384624958E0;9.873687744E0
3.368012120E-1;-7.948749661E-1;2.432508945E0;9.797073364E0
3.418060290E-1;-9.002198577E-1;2.422932148E0;9.797073364E0
3.468413640E-1;-9.385270476E-1;2.442085743E0;9.672574997E0
3.518766980E-1;-1.015141487E0;2.355894566E0;9.730035782E0
3.568815160E-1;-1.063025594E0;2.375048161E0;9.672574997E0
3.619168500E-1;-1.120486379E0;2.346317768E0;9.662998199E0
3.669521860E-1;-1.110909581E0;2.327163935E0;9.662998199E0
3.719570030E-1;-1.110909581E0;2.308010340E0;9.624691010E0
3.769923380E-1;-1.024718285E0;2.231395960E0;9.586383820E0
3.820276720E-1;-9.576807022E-1;2.193088770E0;9.509769440E0
3.870630070E-1;-8.810662031E-1;2.260126352E0;9.519346237E0
3.920678250E-1;-8.714894056E-1;2.250549555E0;9.461885452E0
3.971031590E-1;-8.523358107E-1;2.240972757E0;9.452308655E0
4.021384940E-1;-8.140285611E-1;2.317587137E0;9.414001465E0
4.071433110E-1;-8.714894056E-1;2.317587137E0;9.433155060E0
4.121786460E-1;-7.374141216E-1;2.250549555E0;9.509769440E0
4.172139810E-1;-7.182605267E-1;2.250549555E0;9.433155060E0
4.222187990E-1;-8.906430602E-1;2.288856745E0;9.337387085E0
4.272541330E-1;-8.810662031E-1;2.355894566E0;9.318233490E0
4.322894670E-1;-9.481038451E-1;2.327163935E0;9.145850182E0
4.373248030E-1;-9.768342972E-1;2.308010340E0;9.165003777E0
4.423296200E-1;-1.091755986E0;2.365471363E0;9.136273384E0
4.473649550E-1;-1.091755986E0;2.375048161E0;9.184157372E0
4.524002890E-1;-1.053448796E0;2.365471363E0;9.414001465E0
4.574051070E-1;-1.034295082E0;2.298433542E0;9.548076630E0
4.624404420E-1;-9.385270476E-1;2.145204782E0;9.624691010E0
4.674757760E-1;-8.714894056E-1;1.924938202E0;9.883264542E0
4.725111110E-1;-7.661445141E-1;1.848323703E0;9.873687744E0
4.775159290E-1;-6.991068721E-1;1.781286120E0;1.002691650E1
4.825512640E-1;-6.607996821E-1;1.877054095E0;9.921571732E0
4.875865980E-1;-6.512228847E-1;1.886630893E0;9.979032516E0
4.925914160E-1;-5.458779931E-1;1.953668594E0;9.940725327E0
4.976267500E-1;-6.033388376E-1;2.039859772E0;9.950302124E0
5.026620860E-1;-6.129156351E-1;2.011129379E0;1.002691650E1
5.076669020E-1;-6.320692301E-1;2.097320795E0;9.969455719E0
5.127022380E-1;-7.086837292E-1;2.097320795E0;9.892841339E0
5.177375720E-1;-7.852981687E-1;2.087743998E0;9.902418137E0
5.227729070E-1;-8.331822157E-1;2.183511972E0;9.758766174E0
5.277777240E-1;-8.619126081E-1;2.202665567E0;9.682151794E0
5.328130590E-1;-7.948749661E-1;2.116474390E0;9.615114212E0
5.378483940E-1;-7.278373241E-1;2.240972757E0;9.615114212E0
5.428532110E-1;-7.278373241E-1;2.260126352E0;9.500192642E0
5.478885460E-1;-7.374141216E-1;2.375048161E0;9.471462250E0
5.529238810E-1;-7.374141216E-1;2.336740971E0;9.414001465E0
5.579592150E-1;-7.757213712E-1;2.308010340E0;9.490615845E0
5.629640330E-1;-7.278373241E-1;2.202665567E0;9.624691010E0
5.679993670E-1;-7.278373241E-1;2.068590164E0;9.624691010E0
5.730347030E-1;-7.469909191E-1;1.934514999E0;9.490615845E0
5.780395200E-1;-6.512228847E-1;1.924938202E0;9.433155060E0
5.830748550E-1;-5.650315881E-1;2.020706177E0;9.461885452E0
5.881101890E-1;-5.171475410E-1;2.020706177E0;9.500192642E0
5.931150070E-1;-4.692635238E-1;2.049436569E0;9.509769440E0
5.981503420E-1;-5.746083856E-1;2.116474390E0;9.595960617E0
6.031856760E-1;-6.320692301E-1;2.097320795E0;9.452308655E0
6.082210110E-1;-6.129156351E-1;2.145204782E0;9.519346237E0
6.132258280E-1;-6.512228847E-1;2.202665567E0;9.576807022E0
6.182611640E-1;-6.799532771E-1;2.212242365E0;9.481039047E0
6.232964980E-1;-7.086837292E-1;2.250549555E0;9.433155060E0
6.283013160E-1;-7.565677166E-1;2.250549555E0;9.500192642E0
6.333366500E-1;-6.991068721E-1;2.221819162E0;9.576807022E0
6.383719850E-1;-6.224924326E-1;2.202665567E0;9.528923035E0
6.433768020E-1;-6.129156351E-1;2.059013367E0;9.672574997E0
6.484121380E-1;-7.086837292E-1;2.001552582E0;9.883264542E0
6.534474720E-1;-7.182605267E-1;1.963245392E0;1.012268448E1
6.584828070E-1;-6.224924326E-1;1.991975784E0;1.003649330E1
6.634876240E-1;-5.267243981E-1;1.953668594E0;9.835380554E0
6.685229590E-1;-4.788403511E-1;2.001552582E0;9.854534149E0
6.735582940E-1;-4.979939461E-1;1.915361404E0;9.816226959E0
6.785631110E-1;-4.692635238E-1;2.030282974E0;9.682151794E0
6.835984460E-1;-4.596867263E-1;2.020706177E0;9.749189377E0
6.886337810E-1;-6.224924326E-1;2.068590164E0;9.672574997E0
6.936385990E-1;-5.363011956E-1;2.126051188E0;9.471462250E0
6.986739330E-1;-6.320692301E-1;2.202665567E0;9.500192642E0
7.037092670E-1;-6.416460276E-1;2.126051188E0;9.586383820E0
7.087140850E-1;-7.469909191E-1;2.135627985E0;9.720458984E0
7.137494200E-1;-7.948749661E-1;2.087743998E0;9.739612579E0
7.187847550E-1;-8.619126081E-1;2.097320795E0;9.720458984E0
7.238200890E-1;-7.757213712E-1;2.049436569E0;9.662998199E0
7.288249070E-1;-7.661445141E-1;2.059013367E0;9.548076630E0
7.338602420E-1;-7.374141216E-1;2.097320795E0;9.509769440E0
7.388955760E-1;-8.523358107E-1;2.135627985E0;9.481039047E0
7.439003940E-1;-8.523358107E-1;2.154781580E0;9.404424667E0
7.489357280E-1;-7.852981687E-1;2.164358377E0;9.394847870E0
7.539710630E-1;-9.002198577E-1;2.106897593E0;9.461885452E0
7.589758800E-1;-9.193734527E-1;2.183511972E0;9.394847870E0
7.640112160E-1;-8.619126081E-1;2.106897593E0;9.375694275E0
7.690465500E-1;-8.236053586E-1;2.116474390E0;9.327810287E0
7.740818840E-1;-8.906430602E-1;2.106897593E0;9.327810287E0
7.790867020E-1;-8.427590132E-1;2.068590164E0;9.385271072E0
7.841220370E-1;-8.044517636E-1;2.106897593E0;9.442731857E0
7.891573720E-1;-7.948749661E-1;2.068590164E0;9.528923035E0
7.941621890E-1;-6.512228847E-1;1.915361404E0;9.576807022E0
7.991975240E-1;-6.512228847E-1;2.011129379E0;9.605537415E0
8.042328590E-1;-7.086837292E-1;2.039859772E0;9.682151794E0
8.092376760E-1;-6.703764796E-1;2.068590164E0;9.749189377E0
8.142730110E-1;-6.416460276E-1;2.039859772E0;9.873687744E0
8.193083450E-1;-7.278373241E-1;2.049436569E0;9.787496567E0
8.243436810E-1;-6.512228847E-1;2.030282974E0;9.797073364E0
8.293484980E-1;-6.224924326E-1;1.991975784E0;9.758766174E0
8.343838330E-1;-7.565677166E-1;2.049436569E0;9.730035782E0
8.394191670E-1;-7.182605267E-1;2.078166962E0;9.710882187E0
8.444239850E-1;-5.937620401E-1;2.001552582E0;9.701305389E0
8.494593190E-1;-7.757213712E-1;2.135627985E0;9.710882187E0
8.544946550E-1;-7.661445141E-1;2.078166962E0;9.710882187E0
8.594994720E-1;-6.224924326E-1;2.011129379E0;9.643844604E0
8.645348070E-1;-6.129156351E-1;2.068590164E0;9.557653427E0
8.695701410E-1;-5.363011956E-1;2.126051188E0;9.500192642E0
8.746054760E-1;-5.937620401E-1;2.126051188E0;9.548076630E0
8.796102940E-1;-5.937620401E-1;2.164358377E0;9.471462250E0
8.846456280E-1;-6.416460276E-1;2.164358377E0;9.423578262E0
8.896809630E-1;-6.416460276E-1;2.078166962E0;9.404424667E0
8.946857800E-1;-6.895300746E-1;2.049436569E0;9.567230225E0
8.997211160E-1;-6.033388376E-1;2.011129379E0;9.500192642E0
9.047564500E-1;-6.129156351E-1;2.039859772E0;9.557653427E0
9.097612680E-1;-6.416460276E-1;1.886630893E0;9.481039047E0
9.147966020E-1;-6.129156351E-1;2.087743998E0;9.567230225E0
9.198319370E-1;-5.267243981E-1;2.106897593E0;9.538499832E0
9.248672720E-1;-5.554547906E-1;2.116474390E0;9.595960617E0
9.298720890E-1;-6.607996821E-1;2.049436569E0;9.595960617E0
9.349074240E-1;-6.895300746E-1;2.126051188E0;9.471462250E0
9.399427590E-1;-6.799532771E-1;2.212242365E0;9.481039047E0
9.449475760E-1;-6.607996821E-1;2.212242365E0;9.481039047E0
9.499829110E-1;-6.607996821E-1;2.250549555E0;9.538499832E0
9.550182450E-1;-6.416460276E-1;2.097320795E0;9.624691010E0
9.600230630E-1;-6.895300746E-1;2.049436569E0;9.672574997E0
9.650583970E-1;-6.607996821E-1;2.039859772E0;9.682151794E0
9.700937330E-1;-6.607996821E-1;2.039859772E0;9.739612579E0
9.751290670E-1;-6.895300746E-1;1.972822189E0;9.777919769E0
9.801338850E-1;-7.565677166E-1;2.039859772E0;9.682151794E0
9.851692190E-1;-6.991068721E-1;2.020706177E0;9.643844604E0
9.902045540E-1;-6.703764796E-1;1.963245392E0;9.605537415E0
9.952093720E-1;-6.416460276E-1;1.963245392E0;9.605537415E0
1.000244707E0;-7.182605267E-1;2.087743998E0;9.548076630E0
1.005280041E0;-7.374141216E-1;2.173935175E0;9.624691010E0
1.010315376E0;-7.278373241E-1;2.078166962E0;9.567230225E0
1.015320194E0;-7.182605267E-1;2.078166962E0;9.519346237E0
1.020355528E0;-6.512228847E-1;2.011129379E0;9.557653427E0
1.025390863E0;-7.086837292E-1;2.116474390E0;9.634267807E0
1.030395680E0;-5.650315881E-1;1.972822189E0;9.634267807E0
1.035431016E0;-6.416460276E-1;1.934514999E0;9.615114212E0
1.040466350E0;-5.841852427E-1;1.991975784E0;9.586383820E0
1.045471168E0;-5.746083856E-1;1.963245392E0;9.758766174E0
1.050506502E0;-6.703764796E-1;1.905784607E0;9.768342972E0
1.055541837E0;-6.224924326E-1;1.953668594E0;9.816226959E0
1.060577172E0;-6.320692301E-1;1.896207690E0;9.758766174E0
1.065581989E0;-6.224924326E-1;2.001552582E0;9.710882187E0
1.070617324E0;-4.979939461E-1;1.982398987E0;9.682151794E0
1.075652659E0;-5.937620401E-1;2.001552582E0;9.586383820E0
1.080657476E0;-6.033388376E-1;2.011129379E0;9.528923035E0
1.085692811E0;-5.937620401E-1;2.001552582E0;9.567230225E0
1.090728145E0;-5.267243981E-1;2.126051188E0;9.509769440E0
1.095763480E0;-5.363011956E-1;2.116474390E0;9.586383820E0
1.100768297E0;-6.033388376E-1;2.116474390E0;9.557653427E0
1.105803633E0;-6.224924326E-1;2.087743998E0;9.586383820E0
1.110838967E0;-6.224924326E-1;2.087743998E0;9.739612579E0
1.115843785E0;-6.607996821E-1;2.106897593E0;9.682151794E0
1.120879119E0;-6.703764796E-1;1.982398987E0;9.624691010E0
1.125914454E0;-6.607996821E-1;2.001552582E0;9.576807022E0
1.130949789E0;-6.129156351E-1;1.972822189E0;9.586383820E0
1.135954606E0;-5.650315881E-1;1.924938202E0;9.461885452E0
1.140989941E0;-5.458779931E-1;1.953668594E0;9.548076630E0
1.146025276E0;-5.937620401E-1;1.934514999E0;9.586383820E0
1.151030093E0;-6.512228847E-1;1.972822189E0;9.557653427E0
1.156065428E0;-6.033388376E-1;1.944091797E0;9.624691010E0
1.161100762E0;-6.033388376E-1;1.953668594E0;9.605537415E0
1.166136098E0;-6.607996821E-1;1.991975784E0;9.615114212E0
1.171140914E0;-6.416460276E-1;2.030282974E0;9.634267807E0
1.176176250E0;-6.607996821E-1;2.030282974E0;9.528923035E0
1.181211584E0;-6.895300746E-1;2.039859772E0;9.567230225E0
1.186246919E0;-7.182605267E-1;1.972822189E0;9.662998199E0
1.191251736E0;-6.512228847E-1;2.030282974E0;9.605537415E0
1.196287072E0;-6.799532771E-1;2.001552582E0;9.701305389E0
1.201322406E0;-5.458779931E-1;1.972822189E0;9.634267807E0
1.206357741E0;-6.033388376E-1;1.924938202E0;9.682151794E0
1.211362558E0;-5.075707436E-1;1.944091797E0;9.634267807E0
1.216397893E0;-5.267243981E-1;1.848323703E0;9.595960617E0
1.221433228E0;-5.363011956E-1;1.934514999E0;9.557653427E0
1.226438045E0;-6.224924326E-1;1.963245392E0;9.576807022E0
1.231473380E0;-6.512228847E-1;1.924938202E0;9.548076630E0
1.236508715E0;-7.182605267E-1;1.944091797E0;9.653421402E0
1.241544049E0;-5.650315881E-1;1.867477298E0;9.548076630E0
1.246548867E0;-6.224924326E-1;1.944091797E0;9.586383820E0
1.251584201E0;-6.033388376E-1;1.944091797E0;9.519346237E0
1.256619537E0;-5.746083856E-1;2.001552582E0;9.624691010E0
1.261654871E0;-6.224924326E-1;1.982398987E0;9.576807022E0
1.266659689E0;-5.267243981E-1;1.934514999E0;9.538499832E0
1.271695023E0;-5.458779931E-1;2.030282974E0;9.548076630E0
1.276730358E0;-6.033388376E-1;2.087743998E0;9.509769440E0
1.281735176E0;-5.841852427E-1;1.972822189E0;9.490615845E0
1.286770510E0;-4.884171486E-1;2.030282974E0;9.509769440E0
1.291805845E0;-4.979939461E-1;2.049436569E0;9.576807022E0
1.296841180E0;-5.267243981E-1;1.944091797E0;9.634267807E0
1.301845998E0;-4.979939461E-1;2.001552582E0;9.586383820E0
1.306881332E0;-5.458779931E-1;2.020706177E0;9.595960617E0
1.311916666E0;-5.458779931E-1;2.039859772E0;9.691728592E0
1.316921484E0;-4.979939461E-1;2.001552582E0;9.662998199E0
1.321956819E0;-5.554547906E-1;2.039859772E0;9.672574997E0
1.326992154E0;-5.363011956E-1;1.944091797E0;9.634267807E0
1.332027488E0;-5.171475410E-1;1.991975784E0;9.576807022E0
1.337032306E0;-4.405331016E-1;1.915361404E0;9.653421402E0
1.342067641E0;-4.884171486E-1;1.934514999E0;9.662998199E0
1.347102975E0;-4.309563041E-1;1.953668594E0;9.605537415E0
1.352138310E0;-4.118026793E-1;1.944091797E0;9.653421402E0
1.357143127E0;-4.405331016E-1;1.953668594E0;9.730035782E0
1.362178463E0;-4.788403511E-1;1.886630893E0;9.768342972E0
1.367213797E0;-4.596867263E-1;1.963245392E0;9.710882187E0
1.372218615E0;-5.458779931E-1;1.972822189E0;9.710882187E0
1.377253949E0;-5.267243981E-1;2.039859772E0;9.643844604E0
1.382289284E0;-5.554547906E-1;2.020706177E0;9.662998199E0
1.387324619E0;-5.746083856E-1;2.001552582E0;9.576807022E0
1.392329436E0;-5.650315881E-1;2.078166962E0;9.595960617E0
1.397364771E0;-6.129156351E-1;2.030282974E0;9.595960617E0
1.402400105E0;-5.554547906E-1;2.030282974E0;9.624691010E0
1.407404923E0;-6.224924326E-1;2.059013367E0;9.615114212E0
1.412440258E0;-6.224924326E-1;1.991975784E0;9.586383820E0
1.417475593E0;-6.224924326E-1;1.953668594E0;9.538499832E0
1.422480410E0;-5.171475410E-1;1.991975784E0;9.586383820E0
1.427515745E0;-6.703764796E-1;2.049436569E0;9.567230225E0
1.432551080E0;-6.703764796E-1;2.030282974E0;9.519346237E0
1.437586414E0;-6.416460276E-1;1.944091797E0;9.528923035E0
1.442591232E0;-7.374141216E-1;1.972822189E0;9.567230225E0
1.447626566E0;-6.416460276E-1;2.030282974E0;9.662998199E0
1.452661902E0;-6.320692301E-1;1.963245392E0;9.634267807E0
1.457666718E0;-6.416460276E-1;2.001552582E0;9.653421402E0
1.462702054E0;-7.374141216E-1;1.934514999E0;9.567230225E0
1.467737388E0;-7.278373241E-1;1.982398987E0;9.653421402E0
1.472742206E0;-6.703764796E-1;1.972822189E0;9.557653427E0
